NO_MUNICIPIO_ESC,MESORREGIAO,PRESENCA
Jacinto,JEQUITINHONHA,0.5
Jacutinga,SUL/SUDOESTE DE MINAS,0.46534653465346537
Jacuí,SUL/SUDOESTE DE MINAS,0.6
Jaguaraçu,VALE DO RIO DOCE,0.6666666666666666
Jampruca,VALE DO RIO DOCE,0.5
Janaúba,NORTE DE MINAS,0.7748344370860927
Januária,NORTE DE MINAS,0.7375
Japaraíba,CENTRAL MINEIRA,0.4782608695652174
Japonvar,NORTE DE MINAS,0.75
Jaíba,NORTE DE MINAS,0.5569620253164557
Jeceaba,METROPOLITANA DE BELO HORIZONTE,0.25
Jenipapo de Minas,JEQUITINHONHA,0.42857142857142855
Jequeri,ZONA DA MATA,0.4666666666666667
Jequitaí,NORTE DE MINAS,0.8461538461538461
Jequitibá,METROPOLITANA DE BELO HORIZONTE,0.25
Jesuânia,SUL/SUDOESTE DE MINAS,0.2
Joanésia,VALE DO RIO DOCE,0.3333333333333333
Joaquim Felício,CENTRAL MINEIRA,0.5833333333333334
Joaíma,JEQUITINHONHA,0.21428571428571427
Jordânia,JEQUITINHONHA,0.5384615384615384
Josenópolis,NORTE DE MINAS,0.42857142857142855
José Gonçalves de Minas,JEQUITINHONHA,0.6666666666666666
José Raydan,VALE DO RIO DOCE,1.0
João Monlevade,METROPOLITANA DE BELO HORIZONTE,0.7063953488372093
João Pinheiro,NOROESTE DE MINAS,0.6402439024390244
Juatuba,METROPOLITANA DE BELO HORIZONTE,0.45
Juiz de Fora,ZONA DA MATA,0.7533596837944664
Juramento,NORTE DE MINAS,0.6666666666666666
Juruaia,SUL/SUDOESTE DE MINAS,0.45454545454545453
Juvenília,NORTE DE MINAS,0.6153846153846154
Ladainha,VALE DO MUCURI,0.42105263157894735
Lagamar,NOROESTE DE MINAS,0.3684210526315789
Lagoa Dourada,CAMPO DAS VERTENTES,0.74
Lagoa Formosa,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.475
Lagoa Grande,NOROESTE DE MINAS,0.55
Lagoa Santa,METROPOLITANA DE BELO HORIZONTE,0.7008547008547008
Lagoa da Prata,CENTRAL MINEIRA,0.5847953216374269
Lagoa dos Patos,NORTE DE MINAS,0.3333333333333333
Lajinha,ZONA DA MATA,0.45
Lambari,SUL/SUDOESTE DE MINAS,0.5217391304347826
Lamim,ZONA DA MATA,0.25
Laranjal,ZONA DA MATA,0.3333333333333333
Lassance,NORTE DE MINAS,0.16666666666666666
Lavras,CAMPO DAS VERTENTES,0.7874396135265701
Leandro Ferreira,CENTRAL MINEIRA,0.125
Leme do Prado,JEQUITINHONHA,0.6666666666666666
Leopoldina,ZONA DA MATA,0.7509578544061303
Liberdade,SUL/SUDOESTE DE MINAS,0.5454545454545454
Lima Duarte,ZONA DA MATA,0.6666666666666666
Limeira do Oeste,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,0.48484848484848486
Lontra,NORTE DE MINAS,0.6521739130434783
Luisburgo,ZONA DA MATA,0.5
Luislândia,NORTE DE MINAS,0.6666666666666666
Luminárias,CAMPO DAS VERTENTES,0.8461538461538461
Luz,CENTRAL MINEIRA,0.5714285714285714
Machacalis,VALE DO MUCURI,0.8571428571428571
Machado,SUL/SUDOESTE DE MINAS,0.7522123893805309
Madre de Deus de Minas,CAMPO DAS VERTENTES,0.6153846153846154
Malacacheta,VALE DO MUCURI,0.3877551020408163
Mamonas,NORTE DE MINAS,1.0
Manga,NORTE DE MINAS,0.631578947368421
Manhuaçu,ZONA DA MATA,0.580441640378549
Manhumirim,ZONA DA MATA,0.4576271186440678
Mantena,VALE DO RIO DOCE,0.5238095238095238
Mar de Espanha,ZONA DA MATA,0.43902439024390244
Maravilhas,METROPOLITANA DE BELO HORIZONTE,0.2857142857142857
Maria da Fé,SUL/SUDOESTE DE MINAS,0.6962025316455697
Mariana,METROPOLITANA DE BELO HORIZONTE,0.5357142857142857
Marilac,VALE DO RIO DOCE,0.4166666666666667
Maripá de Minas,ZONA DA MATA,0.7142857142857143
Marliéria,VALE DO RIO DOCE,0.6666666666666666
Marmelópolis,SUL/SUDOESTE DE MINAS,0.625
Martinho Campos,CENTRAL MINEIRA,0.6756756756756757
